cdr_id,caller_phone,receiver_phone,timestamp,duration_sec,cell_tower,case_hint
CDR-0021,PH002,PH003,2026-08-15 02:25:00,210,TWR-NOI-W7,CASE-1002
CDR-0022,PH002,PH003,2026-08-17 23:05:00,411,TWR-NOI-18,CASE-1001
CDR-0023,PH002,PH003,2026-08-06 04:10:00,373,TWR-GHA-IND,CASE-1005
CDR-0024,PH002,PH003,2026-08-03 20:24:00,330,TWR-GHA-IND,CASE-1005
CDR-0025,PH002,PH003,2026-08-10 01:55:00,30,TWR-NOI-18,CASE-1005
CDR-0026,PH002,PH003,2026-08-25 16:49:00,353,TWR-DEL-MER,CASE-1001
CDR-0027,PH002,PH003,2026-08-10 21:10:00,257,TWR-NOI-18,CASE-1003
CDR-0028,PH002,PH003,2026-08-17 13:32:00,79,TWR-DEL-MER,CASE-1005
CDR-0029,PH002,PH003,2026-08-20 14:09:00,216,TWR-NOI-W7,CASE-1005
CDR-0030,PH002,PH003,2026-08-26 00:58:00,25,TWR-DEL-MER,CASE-1004
CDR-0031,PH003,PH004,2026-08-01 11:59:00,210,TWR-DEL-MER,CASE-1002
CDR-0032,PH003,PH004,2026-08-02 15:56:00,315,TWR-NOI-18,CASE-1001
CDR-0033,PH003,PH004,2026-08-24 23:52:00,60,TWR-NOI-W7,CASE-1002
CDR-0034,PH003,PH004,2026-08-22 23:35:00,109,TWR-DEL-MER,CASE-1005
CDR-0035,PH003,PH004,2026-08-20 21:13:00,301,TWR-NOI-W7,CASE-1003
CDR-0036,PH003,PH004,2026-08-14 05:41:00,216,TWR-GHA-IND,CASE-1005
CDR-0037,PH003,PH004,2026-08-15 11:15:00,140,TWR-NOI-18,CASE-1003
CDR-0038,PH003,PH004,2026-08-02 02:35:00,142,TWR-NOI-W7,CASE-1001
CDR-0039,PH003,PH004,2026-08-04 06:40:00,55,TWR-NOI-W7,CASE-1001
CDR-0040,PH003,PH004,2026-08-02 18:04:00,288,TWR-NOI-W7,CASE-1003
CDR-0041,PH003,PH004,2026-08-22 23:13:00,301,TWR-NOI-W7,CASE-1005
CDR-0042,PH003,PH005,2026-08-19 23:15:00,267,TWR-GHA-IND,CASE-1002
CDR-0043,PH003,PH005,2026-08-04 11:42:00,245,TWR-DEL-MER,CASE-1004
CDR-0044,PH003,PH005,2026-08-14 22:55:00,398,TWR-NOI-18,CASE-1001
CDR-0045,PH003,PH005,2026-08-02 20:46:00,198,TWR-NOI-18,CASE-1002
CDR-0046,PH003,PH005,2026-08-07 14:34:00,254,TWR-NOI-W7,CASE-1004
CDR-0047,PH003,PH005,2026-08-06 16:29:00,152,TWR-NOI-18,CASE-1004
CDR-0048,PH003,PH005,2026-08-18 11:03:00,358,TWR-NOI-18,CASE-1001
CDR-0049,PH003,PH005,2026-08-25 15:10:00,233,TWR-GHA-IND,CASE-1004
CDR-0050,PH003,PH005,2026-08-07 20:57:00,55,TWR-NOI-W7,CASE-1004
CDR-0051,PH003,PH005,2026-08-01 20:16:00,257,TWR-DEL-MER,CASE-1004
CDR-0052,PH003,PH005,2026-08-24 07:50:00,309,TWR-GHA-IND,CASE-1002
CDR-0053,PH003,PH005,2026-08-07 17:13:00,54,TWR-NOI-18,CASE-1003
CDR-0054,PH003,PH005,2026-08-02 09:37:00,269,TWR-NOI-W7,CASE-1001
CDR-0055,PH003,PH005,2026-08-17 10:54:00,120,TWR-NOI-18,CASE-1005
CDR-0056,PH004,PH005,2026-08-04 05:55:00,145,TWR-GHA-IND,CASE-1001
CDR-0057,PH004,PH005,2026-08-19 15:37:00,329,TWR-NOI-18,CASE-1005
CDR-0058,PH004,PH005,2026-08-03 21:42:00,323,TWR-DEL-MER,CASE-1003
CDR-0059,PH004,PH005,2026-08-08 05:45:00,185,TWR-NOI-W7,CASE-1003
CDR-0060,PH004,PH005,2026-08-13 12:42:00,355,TWR-DEL-MER,CASE-1004
CDR-0061,PH004,PH005,2026-08-11 10:00:00,259,TWR-NOI-18,CASE-1001
CDR-0062,PH004,PH005,2026-08-18 14:32:00,160,TWR-NOI-W7,CASE-1003
CDR-0063,PH004,PH005,2026-08-03 15:23:00,170,TWR-NOI-W7,CASE-1004
CDR-0064,PH004,PH005,2026-08-19 06:19:00,338,TWR-NOI-18,CASE-1005
CDR-0065,PH004,PH005,2026-08-11 05:06:00,93,TWR-DEL-MER,CASE-1001
CDR-0066,PH001,PH003,2026-08-05 07:35:00,104,TWR-DEL-MER,CASE-1003
CDR-0067,PH001,PH003,2026-08-20 14:45:00,200,TWR-NOI-W7,CASE-1003
CDR-0068,PH001,PH003,2026-08-17 23:16:00,51,TWR-NOI-18,CASE-1004
CDR-0069,PH001,PH003,2026-08-09 09:00:00,195,TWR-NOI-W7,CASE-1003
CDR-0070,PH001,PH003,2026-08-07 07:28:00,307,TWR-GHA-IND,CASE-1005
CDR-0071,PH001,PH003,2026-08-01 11:04:00,378,TWR-NOI-W7,CASE-1005
CDR-0072,PH001,PH003,2026-08-02 19:37:00,307,TWR-NOI-W7,CASE-1004
CDR-0073,PH001,PH003,2026-08-05 09:19:00,211,TWR-NOI-18,CASE-1003
CDR-0074,PH005,PH008,2026-08-08 05:15:00,366,TWR-NOI-18,CASE-1003
CDR-0075,PH005,PH008,2026-08-26 01:56:00,233,TWR-NOI-W7,CASE-1002
CDR-0076,PH005,PH008,2026-08-06 13:56:00,236,TWR-NOI-18,CASE-1002
CDR-0077,PH005,PH008,2026-08-24 18:50:00,235,TWR-NOI-W7,CASE-1003
CDR-0078,PH005,PH008,2026-08-07 06:06:00,220,TWR-NOI-18,CASE-1004
CDR-0079,PH005,PH008,2026-08-08 14:52:00,260,TWR-DEL-MER,CASE-1003
CDR-0080,PH009,PH003,2026-08-08 15:01:00,362,TWR-NOI-W7,CASE-1004
CDR-0081,PH009,PH003,2026-08-11 16:55:00,60,TWR-DEL-MER,CASE-1003
CDR-0082,PH009,PH003,2026-08-22 00:25:00,372,TWR-DEL-MER,CASE-1001
CDR-0083,PH009,PH003,2026-08-04 16:11:00,322,TWR-DEL-MER,CASE-1001
CDR-0084,PH009,PH003,2026-08-05 03:27:00,201,TWR-DEL-MER,CASE-1004
CDR-0085,PH010,PH005,2026-08-21 00:07:00,222,TWR-NOI-W7,CASE-1003
CDR-0086,PH010,PH005,2026-08-03 06:27:00,25,TWR-NOI-W7,CASE-1003
CDR-0087,PH010,PH005,2026-08-14 10:42:00,194,TWR-DEL-MER,CASE-1001
CDR-0088,PH010,PH005,2026-08-24 17:32:00,183,TWR-GHA-IND,CASE-1003
CDR-0089,PH010,PH005,2026-08-14 06:18:00,308,TWR-NOI-W7,CASE-1002
CDR-0090,PH010,PH005,2026-08-15 05:24:00,371,TWR-NOI-W7,CASE-1005
CDR-0091,PH010,PH005,2026-08-19 17:25:00,305,TWR-NOI-18,CASE-1003
CDR-0092,PH007,PH003,2026-08-10 14:27:00,321,TWR-DEL-MER,CASE-1004
CDR-0093,PH007,PH003,2026-08-15 22:43:00,134,TWR-GHA-IND,CASE-1002
CDR-0094,PH007,PH003,2026-08-22 10:18:00,288,TWR-DEL-MER,CASE-1001
CDR-0095,PH007,PH003,2026-08-25 15:43:00,183,TWR-NOI-W7,CASE-1002
CDR-0096,PH006,PH001,2026-08-05 08:02:00,150,TWR-GHA-IND,CASE-1005
CDR-0097,PH006,PH001,2026-08-25 10:29:00,237,TWR-NOI-W7,CASE-1004
CDR-0098,PH006,PH001,2026-08-16 20:15:00,100,TWR-NOI-18,CASE-1001
CDR-0099,PH011,PH005,2026-08-25 21:14:00,115,TWR-GHA-IND,CASE-1001
CDR-0100,PH011,PH005,2026-08-18 15:58:00,87,TWR-GHA-IND,CASE-1002
CDR-0101,PH011,PH005,2026-08-16 05:33:00,311,TWR-DEL-MER,CASE-1004
CDR-0102,PH011,PH005,2026-08-21 07:57:00,283,TWR-GHA-IND,CASE-1005
CDR-0103,PH008,PH003,2026-08-24 23:28:00,86,TWR-NOI-W7,
CDR-0104,PH011,PH005,2026-08-26 00:31:00,180,TWR-NOI-W7,
CDR-0105,PH005,PH008,2026-08-04 06:18:00,80,TWR-DEL-MER,
CDR-0106,PH006,PH012,2026-08-18 10:08:00,58,TWR-NOI-W7,
CDR-0107,PH007,PH003,2026-08-23 14:04:00,126,TWR-GHA-IND,
CDR-0108,PH006,PH009,2026-08-15 21:03:00,72,TWR-GHA-IND,
CDR-0109,PH007,PH010,2026-08-23 08:54:00,167,TWR-GHA-IND,
CDR-0110,PH008,PH001,2026-08-12 17:48:00,119,TWR-GHA-IND,
CDR-0111,PH009,PH012,2026-08-20 15:31:00,76,TWR-DEL-MER,
CDR-0112,PH007,PH008,2026-08-01 20:21:00,123,TWR-NOI-W7,
CDR-0113,PH008,PH003,2026-08-21 01:01:00,120,TWR-NOI-18,
CDR-0114,PH002,PH011,2026-08-14 12:55:00,138,TWR-NOI-W7,
CDR-0115,PH001,PH005,2026-08-13 18:13:00,136,TWR-DEL-MER,
CDR-0116,PH006,PH007,2026-08-09 21:16:00,40,TWR-GHA-IND,
CDR-0117,PH001,PH009,2026-08-02 19:14:00,37,TWR-NOI-18,
CDR-0118,PH001,PH004,2026-08-07 08:39:00,59,TWR-NOI-W7,
CDR-0119,PH003,PH008,2026-08-22 11:36:00,75,TWR-GHA-IND,
CDR-0120,PH012,PH005,2026-08-25 19:10:00,175,TWR-NOI-18,
CDR-0121,PH003,PH005,2026-08-05 02:01:00,99,TWR-GHA-IND,
CDR-0122,PH007,PH004,2026-08-04 02:44:00,180,TWR-NOI-W7,
CDR-0123,PH002,PH005,2026-08-23 03:51:00,50,TWR-NOI-18,
CDR-0124,PH006,PH009,2026-08-15 05:23:00,37,TWR-DEL-MER,
CDR-0125,PH001,PH007,2026-08-16 11:27:00,112,TWR-GHA-IND,
CDR-0126,PH012,PH003,2026-08-14 13:46:00,153,TWR-DEL-MER,
CDR-0127,PH010,PH009,2026-08-25 23:29:00,131,TWR-DEL-MER,
CDR-0128,PH006,PH004,2026-08-03 16:56:00,135,TWR-NOI-W7,
CDR-0129,PH008,PH010,2026-08-21 05:24:00,106,TWR-NOI-18,
CDR-0130,PH008,PH006,2026-08-06 23:13:00,110,TWR-DEL-MER,
CDR-0131,PH006,PH005,2026-08-21 06:56:00,90,TWR-NOI-18,
CDR-0132,PH009,PH004,2026-08-03 15:46:00,124,TWR-GHA-IND,
CDR-0133,PH009,PH004,2026-08-23 23:41:00,145,TWR-GHA-IND,
CDR-0134,PH001,PH002,2026-08-10 15:25:00,82,TWR-DEL-MER,
CDR-0135,PH011,PH010,2026-08-12 23:35:00,155,TWR-DEL-MER,
CDR-0136,PH007,PH009,2026-08-11 19:44:00,136,TWR-DEL-MER,
CDR-0137,PH005,PH012,2026-08-08 11:46:00,69,TWR-DEL-MER,
CDR-0138,PH002,PH009,2026-08-26 06:11:00,69,TWR-NOI-W7,
CDR-0139,PH012,PH008,2026-08-10 07:37:00,154,TWR-DEL-MER,
CDR-0140,PH002,PH004,2026-08-10 15:23:00,65,TWR-DEL-MER,
CDR-0141,PH001,PH009,2026-08-05 16:02:00,33,TWR-DEL-MER,
CDR-0142,PH012,PH003,2026-08-21 23:06:00,23,TWR-DEL-MER,
CDR-0143,PH008,PH012,2026-08-15 18:11:00,33,TWR-DEL-MER,
CDR-0144,PH008,PH002,2026-08-03 20:31:00,38,TWR-NOI-18,
CDR-0145,PH003,PH012,2026-08-19 17:05:00,83,TWR-NOI-18,
CDR-0146,PH009,PH007,2026-08-21 03:50:00,178,TWR-NOI-W7,
CDR-0147,PH009,PH007,2026-08-15 22:19:00,170,TWR-GHA-IND,
CDR-0148,PH005,PH010,2026-08-20 09:39:00,45,TWR-NOI-W7,
CDR-0149,PH011,PH004,2026-08-10 05:05:00,60,TWR-NOI-W7,
CDR-0150,PH003,PH009,2026-08-03 13:00:00,124,TWR-GHA-IND,
CDR-0151,PH012,PH010,2026-08-16 17:02:00,79,TWR-DEL-MER,
CDR-0152,PH012,PH005,2026-08-23 22:04:00,79,TWR-DEL-MER,
CDR-0153,PH011,PH010,2026-08-22 14:27:00,49,TWR-NOI-W7,
CDR-0154,PH011,PH003,2026-08-09 12:04:00,35,TWR-NOI-W7,
CDR-0155,PH005,PH010,2026-08-25 02:58:00,93,TWR-GHA-IND,
CDR-0156,PH002,PH008,2026-08-23 17:44:00,123,TWR-DEL-MER,
CDR-0157,PH009,PH012,2026-08-16 22:05:00,173,TWR-NOI-18,
CDR-0158,PH007,PH006,2026-08-20 16:01:00,43,TWR-NOI-W7,
CDR-0159,PH011,PH010,2026-08-19 08:48:00,88,TWR-NOI-18,
CDR-0160,PH003,PH008,2026-08-18 04:28:00,91,TWR-NOI-W7,
CDR-0161,PH010,PH007,2026-08-21 23:05:00,140,TWR-DEL-MER,
CDR-0162,PH007,PH006,2026-08-12 05:06:00,61,TWR-DEL-MER,
CDR-0163,PH007,PH008,2026-08-11 05:25:00,160,TWR-NOI-18,
CDR-0164,PH008,PH002,2026-08-11 16:20:00,49,TWR-GHA-IND,
CDR-0165,PH009,PH001,2026-08-23 01:29:00,125,TWR-NOI-18,
CDR-0166,PH004,PH009,2026-08-13 03:48:00,147,TWR-GHA-IND,
CDR-0167,PH001,PH004,2026-08-10 01:08:00,93,TWR-GHA-IND,
CDR-0168,PH012,PH008,2026-08-04 08:40:00,175,TWR-NOI-W7,
CDR-0169,PH012,PH003,2026-08-11 01:00:00,161,TWR-GHA-IND,
CDR-0170,PH002,PH004,2026-08-04 22:07:00,59,TWR-GHA-IND,
CDR-0171,PH012,PH005,2026-08-18 06:17:00,126,TWR-GHA-IND,
CDR-0172,PH008,PH004,2026-08-16 01:09:00,118,TWR-NOI-W7,
CDR-0173,PH010,PH009,2026-08-24 12:55:00,37,TWR-DEL-MER,
CDR-0174,PH007,PH006,2026-08-17 16:52:00,20,TWR-DEL-MER,
CDR-0175,PH012,PH005,2026-08-20 02:42:00,145,TWR-NOI-W7,
CDR-0176,PH008,PH009,2026-08-16 19:21:00,161,TWR-GHA-IND,
CDR-0177,PH008,PH006,2026-08-08 06:15:00,166,TWR-GHA-IND,
CDR-0178,PH004,PH007,2026-08-02 18:47:00,141,TWR-GHA-IND,
CDR-0179,PH007,PH011,2026-08-21 12:31:00,29,TWR-NOI-W7,
CDR-0180,PH009,PH010,2026-08-11 11:55:00,132,TWR-NOI-18,
CDR-0181,PH009,PH008,2026-08-02 07:09:00,124,TWR-NOI-W7,
CDR-0182,PH002,PH008,2026-08-09 18:39:00,121,TWR-NOI-18,
